session_id	manual-001
bug_id	lab-sample-trace-bench-BUG-001
task_type	bugfix
bug_category	slice
repo_url	https://github.com/zhangkui/lab-sample-trace-bench/tree/bug001_green
go_version	go1.26.1 windows/amd64
repro_determinism	deterministic
user_query	任务优先级排序在切片比较中反向，导致普通任务抢在紧急任务之前执行。
trajectory	未生成（本地模型轨迹采集工具不可用）
verify_cmds	go test -count=1 ./internal/service -run TestBug001
gold_root_cause	中文根因：优先级比较方向使用了大于号，破坏了低数值优先策略；证据是 BUG-001 红测中 urgent 排在 normal 之后。\n生产文件/符号：internal/service/schedule.go / SortTasks\n调用链：SortTasks → Dispatcher.AssignNextTask → TasksByState → crane dispatch\n失效原因：缺陷改变了生产逻辑的边界或状态约束，使合法输入得到错误结果。\n证据：红测提交 d11cf73e24f661e073c871ad74a6aa8625b5669a 在 bug001_red 失败，修复提交 0275786b2413e726a00cfdb3c12d8245f2079c8e 在 bug001_fix 通过。
gold_patch	修复提交：0275786b2413e726a00cfdb3c12d8245f2079c8e
success_criteria	目标行为：紧急任务优先出队；边界：PriorityUrgent 与 PriorityStandard 相同截止时间；合法场景：普通、船期、紧急任务混合队列；验证标准：TestBug001 红测失败且修复分支通过。
verify_result	{"baseline_commit": "2f2d103444a865bace68feaf166b8c5ce1c6c653", "fix_commit": "0275786b2413e726a00cfdb3c12d8245f2079c8e", "fix_passed": true, "red_failed": true, "test_commit": "d11cf73e24f661e073c871ad74a6aa8625b5669a"}
harness	go test ./internal/service
generator_model	manual branch generation
